expression,reading,meaning,tags,guid
〜 (まる) ごと,〜 (まる) ごと,"~통째로, 전부",JLPT JLPT_2,Ja%uZn!l8Y
(かさを～) さす,(かさを～) さす,(우산을) '펴다',JLPT JLPT_2 MediaMissing,g~n;/-.8!D
〜(日本) 式,～(にほん) しき,"~식, ~방식",JLPT JLPT_2 MediaMissing,no!e4=rwH(
～位,～い,위,JLPT JLPT_2,G*#PQ&xZe;
～いち (にほんいち),～いち (にほんいち),"~제일, 최고",JLPT JLPT_2,GmGAkPKtVr
～園,～えん,-원,JLPT JLPT_2,z)[Ulzmb?X
～おしまい (おわり),～おしまい (おわり),~로 끝,JLPT JLPT_2,B07i&;klYX
～日,～か,"일, 날(날짜·기간 단위)",JLPT JLPT_2,rDuT4FxT)r
～下,～か,-하,JLPT JLPT_2,fbg-jA#f{K
～化,～か,-화,JLPT JLPT_2,jA{o6okAW~
～科,～か,과,JLPT JLPT_2,G*u5fLwYB~
～歌,～か,-가,JLPT JLPT_2,b!q>|EX?]V
～画,～が,-화,JLPT_1 JLPT JLPT_2,A:x.SahEv8
～外,～がい,"바깥, 밖",JLPT JLPT_2,v.D6N)Jn-M
～難い,～がたい,~하기 어렵다,JLPT_1 JLPT JLPT_2,q5_^x`K^C~
～がち,～がち,"(명사, 동사 연용형에 붙음) 그러한 경향, 상태가 큼",JLPT JLPT_2,"HC!2|,O=Uv"
～刊,～かん,간,JLPT JLPT_2,J]XIoil*2L
～間,～かん,"-간, -째",JLPT JLPT_2,Qm1qWlocEP
～巻,～かん,권,JLPT JLPT_2,K19uzsMb_o
～館,～かん,-관,JLPT JLPT_2,c3uPE$j0G@
～感,～かん,감,JLPT JLPT_2,gv?{M:3Nl+
～期,～き,-기,JLPT JLPT_2,kCfW%K6Q|D
～器,～き,-기,JLPT JLPT_2,u+~Y!_LNSC
～機,～き,-기,JLPT JLPT_2,k3|o@N56?1
～気味,～ぎみ,"기미, 경향",JLPT JLPT_2,H[Vo.[BxaR
～教,～きょう,어간의 하나,JLPT JLPT_2,"vbb{{,/z36"
～行,～ぎょう,"행, 글줄",JLPT JLPT_2,E5TA@2@XRb
～業,～ぎょう,-업,JLPT JLPT_2,r#B%nh/j8;
～きる,～きる,빠지다,JLPT JLPT_2,lY)YcCGPox
～切れ,～きれ,~이 다 떨어짐; ~조각,JLPT JLPT_2,BI!R8>v)8r
～口,～くち,"초입, 아가리",JLPT JLPT_2,pT(<V!lc5R
～家,～け,-가,JLPT JLPT_2,OVLMa7l[Gn
～形,～けい,-형,JLPT JLPT_2,M3p*&+Wj>%
～系,～けい,-계,JLPT_1 JLPT JLPT_2,AgNe/GkjZM
～圏,～けん,-권,JLPT_1 JLPT JLPT_2,Ddk.oC`&.J
～校,～こう,교,JLPT JLPT_2,m]41H0.3l-
～港,～こう,-항,JLPT JLPT_2,vQbZYeISYX
～号,～ごう,호,JLPT JLPT_2,qiAK;eRQt!
～国,～こく,-국,JLPT JLPT_2,m~(IN:3:#0
～毎,～ごと,매,JLPT JLPT_2,Bs7#M8Tn1H
～山,～さん,산,JLPT JLPT_2,vw^f*9f$12
～産,～さん,-산,JLPT JLPT_2,tJtC7!P@]H
～史,～し,-사,JLPT JLPT_2,y`(f6xau3#
～紙,～し,-지,JLPT JLPT_2,y0d}(mMiCt
～寺,～じ,-사,JLPT JLPT_2,Nj@/ru^JH5
～時間目,～じかんめ,교시,JLPT JLPT_2,LonTM0:Ie8
～室,～しつ,실,JLPT JLPT_2,eycwn`U+hZ
～日,～じつ,"날, 하루; 일본의 약어",JLPT JLPT_2,jkFuTgpXi`
